Characteristic,Condition Bin,Known Attendance,Did Attend,Did Not Attend,Did Attend Pct,Known Attendance For Characteristic,Did Attend Pct Characteristic,Char Att Diff,Known Attendance For Condition Bin,Did Attend Pct Condition Bin,Con Bin Att Diff,Char Con Bin
Management (Undeclared),Not Snowy,135,73,62,54.074074074074076,152,54.60526315789473,0.53,7222,69.052893935198,14.98,Management (Undeclared) + Not Snowy
Mechanical Engineering,Not Snowy,142,88,54,61.97183098591549,168,63.095238095238095,1.12,7222,69.052893935198,7.08,Mechanical Engineering + Not Snowy
Psychology,Not Snowy,482,290,192,60.16597510373444,545,59.816513761467895,-0.35,7222,69.052893935198,8.89,Psychology + Not Snowy
Sport&Human Dynamic-Undeclared,Not Snowy,354,274,80,77.40112994350282,409,78.97310513447434,1.57,7222,69.052893935198,-8.35,Sport&Human Dynamic-Undeclared + Not Snowy
Arts and Sciences (Undeclared),Not Windy,905,705,200,77.90055248618785,930,77.63440860215054,-0.27,8039,68.86428660281129,-9.04,Arts and Sciences (Undeclared) + Not Windy
Biology,Not Windy,183,106,77,57.92349726775956,192,56.770833333333336,-1.15,8039,68.86428660281129,10.94,Biology + Not Windy
Comm & Rhetorical Studies,Not Windy,908,681,227,75,933,75.13397642015005,0.13,8039,68.86428660281129,-6.14,Comm & Rhetorical Studies + Not Windy
Economics,Not Windy,470,296,174,62.97872340425532,484,62.8099173553719,-0.17,8039,68.86428660281129,5.89,Economics + Not Windy
Human Development & Family Sci,Not Windy,401,303,98,75.56109725685786,412,75.24271844660194,-0.32,8039,68.86428660281129,-6.7,Human Development & Family Sci + Not Windy
Info Mgmt & Technology,Not Windy,182,109,73,59.89010989010989,188,60.1063829787234,0.22,8039,68.86428660281129,8.97,Info Mgmt & Technology + Not Windy
Management (Undeclared),Not Windy,152,83,69,54.60526315789473,152,54.60526315789473,0,8039,68.86428660281129,14.26,Management (Undeclared) + Not Windy
Mechanical Engineering,Not Windy,165,104,61,63.030303030303024,168,63.095238095238095,0.06,8039,68.86428660281129,5.83,Mechanical Engineering + Not Windy
Psychology,Not Windy,532,318,214,59.77443609022557,545,59.816513761467895,0.04,8039,68.86428660281129,9.09,Psychology + Not Windy
Sport&Human Dynamic-Undeclared,Not Windy,399,313,86,78.44611528822055,409,78.97310513447434,0.53,8039,68.86428660281129,-9.58,Sport&Human Dynamic-Undeclared + Not Windy
Arts and Sciences (Undeclared),Not Below Freezing,864,676,188,78.24074074074075,930,77.63440860215054,-0.61,7524,69.01913875598086,-9.22,Arts and Sciences (Undeclared) + Not Below Freezing
Biology,Not Below Freezing,176,103,73,58.52272727272727,192,56.770833333333336,-1.75,7524,69.01913875598086,10.5,Biology + Not Below Freezing
Comm & Rhetorical Studies,Not Below Freezing,841,629,212,74.79191438763377,933,75.13397642015005,0.34,7524,69.01913875598086,-5.77,Comm & Rhetorical Studies + Not Below Freezing
Economics,Not Below Freezing,443,279,164,62.97968397291196,484,62.8099173553719,-0.17,7524,69.01913875598086,6.04,Economics + Not Below Freezing
Human Development & Family Sci,Not Below Freezing,376,281,95,74.7340425531915,412,75.24271844660194,0.51,7524,69.01913875598086,-5.71,Human Development & Family Sci + Not Below Freezing
Info Mgmt & Technology,Not Below Freezing,175,104,71,59.42857142857143,188,60.1063829787234,0.68,7524,69.01913875598086,9.59,Info Mgmt & Technology + Not Below Freezing
Management (Undeclared),Not Below Freezing,144,80,64,55.55555555555556,152,54.60526315789473,-0.95,7524,69.01913875598086,13.46,Management (Undeclared) + Not Below Freezing
Mechanical Engineering,Not Below Freezing,149,94,55,63.08724832214765,168,63.095238095238095,0.01,7524,69.01913875598086,5.93,Mechanical Engineering + Not Below Freezing
Psychology,Not Below Freezing,493,291,202,59.02636916835699,545,59.816513761467895,0.79,7524,69.01913875598086,9.99,Psychology + Not Below Freezing
Sport&Human Dynamic-Undeclared,Not Below Freezing,370,290,80,78.37837837837837,409,78.97310513447434,0.59,7524,69.01913875598086,-9.36,Sport&Human Dynamic-Undeclared + Not Below Freezing
Arts and Sciences (Undeclared),Not Cold,571,454,117,79.50963222416813,930,77.63440860215054,-1.88,5038,72.1516474791584,-7.36,Arts and Sciences (Undeclared) + Not Cold
Arts and Sciences (Undeclared),Cold,345,257,88,74.4927536231884,930,77.63440860215054,3.14,3123,63.20845341018252,-11.28,Arts and Sciences (Undeclared) + Cold
Biology,Not Cold,118,69,49,58.47457627118644,192,56.770833333333336,-1.7,5038,72.1516474791584,13.68,Biology + Not Cold
Comm & Rhetorical Studies,Not Cold,587,457,130,77.8534923339012,933,75.13397642015005,-2.72,5038,72.1516474791584,-5.7,Comm & Rhetorical Studies + Not Cold
Comm & Rhetorical Studies,Cold,341,239,102,70.08797653958945,933,75.13397642015005,5.05,3123,63.20845341018252,-6.88,Comm & Rhetorical Studies + Cold
Economics,Not Cold,304,204,100,67.10526315789474,484,62.8099173553719,-4.3,5038,72.1516474791584,5.05,Economics + Not Cold
Economics,Cold,176,96,80,54.54545454545454,484,62.8099173553719,8.26,3123,63.20845341018252,8.66,Economics + Cold
Finance-U,Not Cold,167,128,39,76.64670658682635,252,70.63492063492063,-6.01,5038,72.1516474791584,-4.5,Finance-U + Not Cold
Health and Exercise Science,Cold,239,146,93,61.08786610878661,634,68.13880126182966,7.05,3123,63.20845341018252,2.12,Health and Exercise Science + Cold
Human Development & Family Sci,Cold,143,103,40,72.02797202797203,412,75.24271844660194,3.21,3123,63.20845341018252,-8.82,Human Development & Family Sci + Cold
Psychology,Not Cold,313,201,112,64.21725239616613,545,59.816513761467895,-4.4,5038,72.1516474791584,7.93,Psychology + Not Cold
Psychology,Cold,228,122,106,53.50877192982456,545,59.816513761467895,6.31,3123,63.20845341018252,9.7,Psychology + Cold
Sport Management,Cold,129,88,41,68.21705426356588,329,71.73252279635258,3.52,3123,63.20845341018252,-5.01,Sport Management + Cold
Sport&Human Dynamic-Undeclared,Cold,169,139,30,82.24852071005917,409,78.97310513447434,-3.28,3123,63.20845341018252,-19.04,Sport&Human Dynamic-Undeclared + Cold
Arts and Sciences (Undeclared),Not Hoodie Weather,680,514,166,75.58823529411765,930,77.63440860215054,2.05,5969,67.51549673312113,-8.07,Arts and Sciences (Undeclared) + Not Hoodie Weather
Arts and Sciences (Undeclared),Hoodie Weather,236,197,39,83.47457627118644,930,77.63440860215054,-5.84,2192,72.03467153284672,-11.44,Arts and Sciences (Undeclared) + Hoodie Weather
Biology,Not Hoodie Weather,134,80,54,59.70149253731343,192,56.770833333333336,-2.93,5969,67.51549673312113,7.81,Biology + Not Hoodie Weather
Comm & Rhetorical Studies,Not Hoodie Weather,676,491,185,72.63313609467455,933,75.13397642015005,2.5,5969,67.51549673312113,-5.12,Comm & Rhetorical Studies + Not Hoodie Weather
Comm & Rhetorical Studies,Hoodie Weather,252,205,47,81.34920634920636,933,75.13397642015005,-6.22,2192,72.03467153284672,-9.31,Comm & Rhetorical Studies + Hoodie Weather
Economics,Not Hoodie Weather,349,216,133,61.891117478510026,484,62.8099173553719,0.92,5969,67.51549673312113,5.62,Economics + Not Hoodie Weather
Economics,Hoodie Weather,131,84,47,64.12213740458014,484,62.8099173553719,-1.31,2192,72.03467153284672,7.91,Economics + Hoodie Weather
Health and Exercise Science,Hoodie Weather,184,141,43,76.63043478260869,634,68.13880126182966,-8.49,2192,72.03467153284672,-4.6,Health and Exercise Science + Hoodie Weather
Human Development & Family Sci,Not Hoodie Weather,295,221,74,74.91525423728814,412,75.24271844660194,0.33,5969,67.51549673312113,-7.4,Human Development & Family Sci + Not Hoodie Weather
Info Mgmt & Technology,Not Hoodie Weather,136,78,58,57.35294117647059,188,60.1063829787234,2.75,5969,67.51549673312113,10.16,Info Mgmt & Technology + Not Hoodie Weather
Management (Undeclared),Not Hoodie Weather,109,58,51,53.21100917431193,152,54.60526315789473,1.39,5969,67.51549673312113,14.3,Management (Undeclared) + Not Hoodie Weather
Mechanical Engineering,Not Hoodie Weather,118,70,48,59.32203389830508,168,63.095238095238095,3.77,5969,67.51549673312113,8.19,Mechanical Engineering + Not Hoodie Weather
Psychology,Not Hoodie Weather,409,242,167,59.168704156479215,545,59.816513761467895,0.65,5969,67.51549673312113,8.35,Psychology + Not Hoodie Weather
Psychology,Hoodie Weather,132,81,51,61.36363636363637,545,59.816513761467895,-1.55,2192,72.03467153284672,10.67,Psychology + Hoodie Weather
Sport&Human Dynamic-Undeclared,Not Hoodie Weather,291,234,57,80.41237113402062,409,78.97310513447434,-1.44,5969,67.51549673312113,-12.9,Sport&Human Dynamic-Undeclared + Not Hoodie Weather
Arts and Sciences (Undeclared),Not Nice,659,508,151,77.08649468892261,930,77.63440860215054,0.55,6161,66.93718552183087,-10.15,Arts and Sciences (Undeclared) + Not Nice
Biology,Not Nice,143,76,67,53.14685314685315,192,56.770833333333336,3.62,6161,66.93718552183087,13.79,Biology + Not Nice
Comm & Rhetorical Studies,Not Nice,712,533,179,74.85955056179775,933,75.13397642015005,0.27,6161,66.93718552183087,-7.92,Comm & Rhetorical Studies + Not Nice
Economics,Not Nice,360,212,148,58.88888888888889,484,62.8099173553719,3.92,6161,66.93718552183087,8.05,Economics + Not Nice
Economics,Nice,120,88,32,73.33333333333333,484,62.8099173553719,-10.52,2000,74.25,0.92,Economics + Nice
Finance-U,Not Nice,171,111,60,64.91228070175438,252,70.63492063492063,5.72,6161,66.93718552183087,2.02,Finance-U + Not Nice
Health and Exercise Science,Nice,150,103,47,68.66666666666667,634,68.13880126182966,-0.53,2000,74.25,5.58,Health and Exercise Science + Nice
Human Development & Family Sci,Not Nice,303,224,79,73.92739273927393,412,75.24271844660194,1.32,6161,66.93718552183087,-6.99,Human Development & Family Sci + Not Nice
Info Mgmt & Technology,Not Nice,150,84,66,56.00000000000001,188,60.1063829787234,4.11,6161,66.93718552183087,10.94,Info Mgmt & Technology + Not Nice
Management (Undeclared),Not Nice,113,65,48,57.52212389380531,152,54.60526315789473,-2.92,6161,66.93718552183087,9.42,Management (Undeclared) + Not Nice
Psychology,Not Nice,417,239,178,57.31414868105516,545,59.816513761467895,2.5,6161,66.93718552183087,9.62,Psychology + Not Nice
Psychology,Nice,124,84,40,67.74193548387096,545,59.816513761467895,-7.93,2000,74.25,6.51,Psychology + Nice
Sport&Human Dynamic-Undeclared,Not Nice,327,259,68,79.20489296636084,409,78.97310513447434,-0.23,6161,66.93718552183087,-12.27,Sport&Human Dynamic-Undeclared + Not Nice
Arts and Sciences (Undeclared),Not Hot,890,692,198,77.75280898876404,930,77.63440860215054,-0.12,7952,68.58651911468813,-9.17,Arts and Sciences (Undeclared) + Not Hot
Biology,Not Hot,185,104,81,56.21621621621622,192,56.770833333333336,0.55,7952,68.58651911468813,12.37,Biology + Not Hot
Comm & Rhetorical Studies,Not Hot,896,674,222,75.22321428571429,933,75.13397642015005,-0.09,7952,68.58651911468813,-6.64,Comm & Rhetorical Studies + Not Hot
Economics,Not Hot,464,289,175,62.28448275862068,484,62.8099173553719,0.53,7952,68.58651911468813,6.3,Economics + Not Hot
Human Development & Family Sci,Not Hot,390,292,98,74.87179487179488,412,75.24271844660194,0.37,7952,68.58651911468813,-6.29,Human Development & Family Sci + Not Hot
Info Mgmt & Technology,Not Hot,184,109,75,59.2391304347826,188,60.1063829787234,0.87,7952,68.58651911468813,9.35,Info Mgmt & Technology + Not Hot
Management (Undeclared),Not Hot,150,81,69,54,152,54.60526315789473,0.61,7952,68.58651911468813,14.59,Management (Undeclared) + Not Hot
Mechanical Engineering,Not Hot,162,102,60,62.96296296296296,168,63.095238095238095,0.13,7952,68.58651911468813,5.62,Mechanical Engineering + Not Hot
Psychology,Not Hot,532,319,213,59.962406015037594,545,59.816513761467895,-0.15,7952,68.58651911468813,8.62,Psychology + Not Hot
Sport&Human Dynamic-Undeclared,Not Hot,402,319,83,79.35323383084577,409,78.97310513447434,-0.38,7952,68.58651911468813,-10.77,Sport&Human Dynamic-Undeclared + Not Hot
Arts and Sciences (Undeclared),Not Precip Over Zero,904,702,202,77.65486725663717,930,77.63440860215054,-0.02,7995,69.11819887429644,-8.54,Arts and Sciences (Undeclared) + Not Precip Over Zero
Biology,Not Precip Over Zero,188,108,80,57.446808510638306,192,56.770833333333336,-0.68,7995,69.11819887429644,11.67,Biology + Not Precip Over Zero
Comm & Rhetorical Studies,Not Precip Over Zero,912,690,222,75.6578947368421,933,75.13397642015005,-0.52,7995,69.11819887429644,-6.54,Comm & Rhetorical Studies + Not Precip Over Zero
Economics,Not Precip Over Zero,471,297,174,63.05732484076433,484,62.8099173553719,-0.25,7995,69.11819887429644,6.06,Economics + Not Precip Over Zero
Human Development & Family Sci,Not Precip Over Zero,401,301,100,75.06234413965088,412,75.24271844660194,0.18,7995,69.11819887429644,-5.94,Human Development & Family Sci + Not Precip Over Zero
Info Mgmt & Technology,Not Precip Over Zero,173,104,69,60.115606936416185,188,60.1063829787234,-0.01,7995,69.11819887429644,9,Info Mgmt & Technology + Not Precip Over Zero
Management (Undeclared),Not Precip Over Zero,152,83,69,54.60526315789473,152,54.60526315789473,0,7995,69.11819887429644,14.51,Management (Undeclared) + Not Precip Over Zero
Mechanical Engineering,Not Precip Over Zero,162,102,60,62.96296296296296,168,63.095238095238095,0.13,7995,69.11819887429644,6.16,Mechanical Engineering + Not Precip Over Zero
Psychology,Not Precip Over Zero,518,312,206,60.231660231660236,545,59.816513761467895,-0.42,7995,69.11819887429644,8.89,Psychology + Not Precip Over Zero
Sport&Human Dynamic-Undeclared,Not Precip Over Zero,393,311,82,79.13486005089058,409,78.97310513447434,-0.16,7995,69.11819887429644,-10.02,Sport&Human Dynamic-Undeclared + Not Precip Over Zero
Arts and Sciences (Undeclared),Not Below Freezing Or Cold,519,419,100,80.73217726396918,930,77.63440860215054,-3.1,4401,73.14246762099523,-7.59,Arts and Sciences (Undeclared) + Not Below Freezing Or Cold
Arts and Sciences (Undeclared),Below Freezing Or Cold,397,292,105,73.55163727959699,930,77.63440860215054,4.08,3760,63.56382978723404,-9.99,Arts and Sciences (Undeclared) + Below Freezing Or Cold
Biology,Not Below Freezing Or Cold,105,64,41,60.952380952380956,192,56.770833333333336,-4.18,4401,73.14246762099523,12.19,Biology + Not Below Freezing Or Cold
Comm & Rhetorical Studies,Below Freezing Or Cold,428,306,122,71.49532710280374,933,75.13397642015005,3.64,3760,63.56382978723404,-7.93,Comm & Rhetorical Studies + Below Freezing Or Cold
Economics,Not Below Freezing Or Cold,267,183,84,68.53932584269663,484,62.8099173553719,-5.73,4401,73.14246762099523,4.6,Economics + Not Below Freezing Or Cold
Economics,Below Freezing Or Cold,213,117,96,54.929577464788736,484,62.8099173553719,7.88,3760,63.56382978723404,8.63,Economics + Below Freezing Or Cold
Finance-U,Not Below Freezing Or Cold,148,118,30,79.72972972972973,252,70.63492063492063,-9.09,4401,73.14246762099523,-6.59,Finance-U + Not Below Freezing Or Cold
Finance-U,Below Freezing Or Cold,101,58,43,57.42574257425742,252,70.63492063492063,13.21,3760,63.56382978723404,6.14,Finance-U + Below Freezing Or Cold
Health and Exercise Science,Not Below Freezing Or Cold,345,253,92,73.33333333333333,634,68.13880126182966,-5.19,4401,73.14246762099523,-0.19,Health and Exercise Science + Not Below Freezing Or Cold
Health and Exercise Science,Below Freezing Or Cold,285,176,109,61.75438596491228,634,68.13880126182966,6.38,3760,63.56382978723404,1.81,Health and Exercise Science + Below Freezing Or Cold
Human Development & Family Sci,Below Freezing Or Cold,174,127,47,72.98850574712644,412,75.24271844660194,2.25,3760,63.56382978723404,-9.42,Human Development & Family Sci + Below Freezing Or Cold
Psychology,Not Below Freezing Or Cold,265,169,96,63.77358490566037,545,59.816513761467895,-3.96,4401,73.14246762099523,9.37,Psychology + Not Below Freezing Or Cold
Psychology,Below Freezing Or Cold,276,154,122,55.79710144927537,545,59.816513761467895,4.02,3760,63.56382978723404,7.77,Psychology + Below Freezing Or Cold
Sociology,Not Below Freezing Or Cold,226,167,59,73.89380530973452,443,68.84875846501129,-5.05,4401,73.14246762099523,-0.75,Sociology + Not Below Freezing Or Cold
Sociology,Below Freezing Or Cold,216,137,79,63.42592592592593,443,68.84875846501129,5.42,3760,63.56382978723404,0.14,Sociology + Below Freezing Or Cold
Sport Management,Below Freezing Or Cold,158,109,49,68.9873417721519,329,71.73252279635258,2.75,3760,63.56382978723404,-5.42,Sport Management + Below Freezing Or Cold
Sport&Human Dynamic-Undeclared,Below Freezing Or Cold,206,170,36,82.52427184466019,409,78.97310513447434,-3.55,3760,63.56382978723404,-18.96,Sport&Human Dynamic-Undeclared + Below Freezing Or Cold
Arts and Sciences (Undeclared),Not Hoodie Weather Or Nice,423,311,112,73.5224586288416,930,77.63440860215054,4.11,3969,64.12194507432602,-9.4,Arts and Sciences (Undeclared) + Not Hoodie Weather Or Nice
Arts and Sciences (Undeclared),Hoodie Weather Or Nice,493,400,93,81.13590263691684,930,77.63440860215054,-3.5,4192,73.09160305343512,-8.04,Arts and Sciences (Undeclared) + Hoodie Weather Or Nice
Biology,Hoodie Weather Or Nice,101,60,41,59.4059405940594,192,56.770833333333336,-2.64,4192,73.09160305343512,13.69,Biology + Hoodie Weather Or Nice
Comm & Rhetorical Studies,Not Hoodie Weather Or Nice,460,328,132,71.30434782608695,933,75.13397642015005,3.83,3969,64.12194507432602,-7.18,Comm & Rhetorical Studies + Not Hoodie Weather Or Nice
Comm & Rhetorical Studies,Hoodie Weather Or Nice,468,368,100,78.63247863247864,933,75.13397642015005,-3.5,4192,73.09160305343512,-5.54,Comm & Rhetorical Studies + Hoodie Weather Or Nice
Economics,Not Hoodie Weather Or Nice,229,128,101,55.895196506550214,484,62.8099173553719,6.91,3969,64.12194507432602,8.23,Economics + Not Hoodie Weather Or Nice
Economics,Hoodie Weather Or Nice,251,172,79,68.52589641434263,484,62.8099173553719,-5.72,4192,73.09160305343512,4.57,Economics + Hoodie Weather Or Nice
Finance-U,Not Hoodie Weather Or Nice,107,63,44,58.87850467289719,252,70.63492063492063,11.76,3969,64.12194507432602,5.24,Finance-U + Not Hoodie Weather Or Nice
Finance-U,Hoodie Weather Or Nice,142,113,29,79.5774647887324,252,70.63492063492063,-8.94,4192,73.09160305343512,-6.49,Finance-U + Hoodie Weather Or Nice
Health and Exercise Science,Not Hoodie Weather Or Nice,296,185,111,62.5,634,68.13880126182966,5.64,3969,64.12194507432602,1.62,Health and Exercise Science + Not Hoodie Weather Or Nice
Human Development & Family Sci,Not Hoodie Weather Or Nice,191,140,51,73.29842931937172,412,75.24271844660194,1.94,3969,64.12194507432602,-9.18,Human Development & Family Sci + Not Hoodie Weather Or Nice
Info Mgmt & Technology,Not Hoodie Weather Or Nice,100,51,49,51,188,60.1063829787234,9.11,3969,64.12194507432602,13.12,Info Mgmt & Technology + Not Hoodie Weather Or Nice
Psychology,Not Hoodie Weather Or Nice,285,158,127,55.43859649122807,545,59.816513761467895,4.38,3969,64.12194507432602,8.68,Psychology + Not Hoodie Weather Or Nice
Psychology,Hoodie Weather Or Nice,256,165,91,64.453125,545,59.816513761467895,-4.64,4192,73.09160305343512,8.64,Psychology + Hoodie Weather Or Nice
Sport&Human Dynamic-Undeclared,Not Hoodie Weather Or Nice,211,172,39,81.51658767772511,409,78.97310513447434,-2.54,3969,64.12194507432602,-17.39,Sport&Human Dynamic-Undeclared + Not Hoodie Weather Or Nice
Arts and Sciences (Undeclared),Not Sig Rainy Or Snowy,756,586,170,77.5132275132275,930,77.63440860215054,0.12,6525,69.8544061302682,-7.66,Arts and Sciences (Undeclared) + Not Sig Rainy Or Snowy
Arts and Sciences (Undeclared),Sig Rainy Or Snowy,160,125,35,78.125,930,77.63440860215054,-0.49,1636,64.24205378973105,-13.88,Arts and Sciences (Undeclared) + Sig Rainy Or Snowy
Biology,Not Sig Rainy Or Snowy,156,95,61,60.89743589743589,192,56.770833333333336,-4.13,6525,69.8544061302682,8.96,Biology + Not Sig Rainy Or Snowy
Comm & Rhetorical Studies,Not Sig Rainy Or Snowy,741,556,185,75.03373819163292,933,75.13397642015005,0.1,6525,69.8544061302682,-5.18,Comm & Rhetorical Studies + Not Sig Rainy Or Snowy
Comm & Rhetorical Studies,Sig Rainy Or Snowy,187,140,47,74.8663101604278,933,75.13397642015005,0.27,1636,64.24205378973105,-10.62,Comm & Rhetorical Studies + Sig Rainy Or Snowy
Economics,Not Sig Rainy Or Snowy,391,249,142,63.68286445012787,484,62.8099173553719,-0.87,6525,69.8544061302682,6.17,Economics + Not Sig Rainy Or Snowy
Health and Exercise Science,Sig Rainy Or Snowy,135,84,51,62.22222222222222,634,68.13880126182966,5.92,1636,64.24205378973105,2.02,Health and Exercise Science + Sig Rainy Or Snowy
Human Development & Family Sci,Not Sig Rainy Or Snowy,329,252,77,76.59574468085107,412,75.24271844660194,-1.35,6525,69.8544061302682,-6.74,Human Development & Family Sci + Not Sig Rainy Or Snowy
Info Mgmt & Technology,Not Sig Rainy Or Snowy,138,87,51,63.04347826086957,188,60.1063829787234,-2.94,6525,69.8544061302682,6.81,Info Mgmt & Technology + Not Sig Rainy Or Snowy
Management (Undeclared),Not Sig Rainy Or Snowy,125,68,57,54.400000000000006,152,54.60526315789473,0.21,6525,69.8544061302682,15.45,Management (Undeclared) + Not Sig Rainy Or Snowy
Management -U,Not Sig Rainy Or Snowy,104,79,25,75.96153846153845,143,70.62937062937063,-5.33,6525,69.8544061302682,-6.11,Management -U + Not Sig Rainy Or Snowy
Mechanical Engineering,Not Sig Rainy Or Snowy,126,79,47,62.698412698412696,168,63.095238095238095,0.4,6525,69.8544061302682,7.16,Mechanical Engineering + Not Sig Rainy Or Snowy
Psychology,Not Sig Rainy Or Snowy,430,258,172,60,545,59.816513761467895,-0.18,6525,69.8544061302682,9.85,Psychology + Not Sig Rainy Or Snowy
Psychology,Sig Rainy Or Snowy,111,65,46,58.55855855855856,545,59.816513761467895,1.26,1636,64.24205378973105,5.68,Psychology + Sig Rainy Or Snowy
Sport&Human Dynamic-Undeclared,Not Sig Rainy Or Snowy,316,247,69,78.16455696202532,409,78.97310513447434,0.81,6525,69.8544061302682,-8.31,Sport&Human Dynamic-Undeclared + Not Sig Rainy Or Snowy
Arts and Sciences (Undeclared),Not Miserable,782,606,176,77.49360613810742,930,77.63440860215054,0.14,6760,69.79289940828403,-7.7,Arts and Sciences (Undeclared) + Not Miserable
Arts and Sciences (Undeclared),Miserable,134,105,29,78.35820895522389,930,77.63440860215054,-0.72,1401,63.597430406852254,-14.76,Arts and Sciences (Undeclared) + Miserable
Biology,Not Miserable,165,98,67,59.3939393939394,192,56.770833333333336,-2.62,6760,69.79289940828403,10.4,Biology + Not Miserable
Comm & Rhetorical Studies,Not Miserable,766,578,188,75.45691906005221,933,75.13397642015005,-0.32,6760,69.79289940828403,-5.66,Comm & Rhetorical Studies + Not Miserable
Comm & Rhetorical Studies,Miserable,162,118,44,72.8395061728395,933,75.13397642015005,2.29,1401,63.597430406852254,-9.24,Comm & Rhetorical Studies + Miserable
Economics,Not Miserable,402,259,143,64.42786069651741,484,62.8099173553719,-1.62,6760,69.79289940828403,5.37,Economics + Not Miserable
Health and Exercise Science,Miserable,110,65,45,59.09090909090909,634,68.13880126182966,9.05,1401,63.597430406852254,4.51,Health and Exercise Science + Miserable
Human Development & Family Sci,Not Miserable,340,260,80,76.47058823529412,412,75.24271844660194,-1.23,6760,69.79289940828403,-6.68,Human Development & Family Sci + Not Miserable
Info Mgmt & Technology,Not Miserable,144,91,53,63.19444444444444,188,60.1063829787234,-3.09,6760,69.79289940828403,6.6,Info Mgmt & Technology + Not Miserable
Management (Undeclared),Not Miserable,128,69,59,53.90625,152,54.60526315789473,0.7,6760,69.79289940828403,15.89,Management (Undeclared) + Not Miserable
Mechanical Engineering,Not Miserable,128,81,47,63.28125,168,63.095238095238095,-0.19,6760,69.79289940828403,6.51,Mechanical Engineering + Not Miserable
Psychology,Not Miserable,447,268,179,59.95525727069351,545,59.816513761467895,-0.14,6760,69.79289940828403,9.84,Psychology + Not Miserable
Sport&Human Dynamic-Undeclared,Not Miserable,330,258,72,78.18181818181819,409,78.97310513447434,0.79,6760,69.79289940828403,-8.39,Sport&Human Dynamic-Undeclared + Not Miserable
Arts and Sciences (Undeclared),Not Peaceful,449,331,118,73.71937639198218,930,77.63440860215054,3.92,4204,64.34348239771646,-9.38,Arts and Sciences (Undeclared) + Not Peaceful
Arts and Sciences (Undeclared),Peaceful,467,380,87,81.37044967880087,930,77.63440860215054,-3.74,3957,73.38893100833965,-7.98,Arts and Sciences (Undeclared) + Peaceful
Comm & Rhetorical Studies,Not Peaceful,485,350,135,72.16494845360825,933,75.13397642015005,2.97,4204,64.34348239771646,-7.82,Comm & Rhetorical Studies + Not Peaceful
