Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date
2:54 AM,61ʡF,55ʡF,81ʡ%,CALM,0ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Mostly Cloudy,8/23/2023
3:54 AM,61ʡF,55ʡF,81ʡ%,CALM,0ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Mostly Cloudy,8/23/2023
4:54 AM,62ʡF,55ʡF,78ʡ%,CALM,0ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Cloudy,8/23/2023
5:54 AM,61ʡF,55ʡF,81ʡ%,CALM,0ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Cloudy,8/23/2023
6:54 AM,62ʡF,55ʡF,78ʡ%,CALM,0ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Mostly Cloudy,8/23/2023
7:54 AM,63ʡF,57ʡF,81ʡ%,CALM,0ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Mostly Cloudy,8/23/2023
8:54 AM,67ʡF,58ʡF,73ʡ%,S,6ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Mostly Cloudy,8/23/2023
9:54 AM,72ʡF,58ʡF,61ʡ%,CALM,0ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Partly Cloudy,8/23/2023
10:54 AM,75ʡF,55ʡF,50ʡ%,ENE,3ʡmph,0ʡmph,29.70ʡin,0.0ʡin,Partly Cloudy,8/23/2023
11:54 AM,78ʡF,54ʡF,43ʡ%,NE,3ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,8/23/2023
12:54 PM,76ʡF,52ʡF,43ʡ%,CALM,0ʡmph,0ʡmph,29.67ʡin,0.0ʡin,Mostly Cloudy,8/23/2023
1:54 PM,79ʡF,55ʡF,44ʡ%,N,5ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Mostly Cloudy,8/23/2023
2:54 PM,77ʡF,53ʡF,43ʡ%,WSW,10ʡmph,0ʡmph,29.63ʡin,0.0ʡin,Mostly Cloudy,8/23/2023
3:54 PM,77ʡF,55ʡF,46ʡ%,W,7ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Mostly Cloudy,8/23/2023
4:54 PM,77ʡF,55ʡF,46ʡ%,NE,5ʡmph,0ʡmph,29.59ʡin,0.0ʡin,Cloudy,8/23/2023
5:54 PM,73ʡF,55ʡF,53ʡ%,ENE,7ʡmph,0ʡmph,29.58ʡin,0.0ʡin,Light Rain,8/23/2023
6:54 PM,71ʡF,57ʡF,61ʡ%,CALM,0ʡmph,0ʡmph,29.58ʡin,0.0ʡin,Cloudy,8/23/2023
7:54 PM,70ʡF,57ʡF,63ʡ%,E,6ʡmph,0ʡmph,29.57ʡin,0.0ʡin,Cloudy,8/23/2023
8:54 PM,70ʡF,58ʡF,65ʡ%,SE,3ʡmph,0ʡmph,29.59ʡin,0.0ʡin,Cloudy,8/23/2023
9:54 PM,69ʡF,59ʡF,70ʡ%,ESE,5ʡmph,0ʡmph,29.58ʡin,0.0ʡin,Cloudy,8/23/2023
10:54 PM,69ʡF,58ʡF,68ʡ%,SSE,5ʡmph,0ʡmph,29.57ʡin,0.0ʡin,Cloudy,8/23/2023
11:54 PM,69ʡF,58ʡF,68ʡ%,SSE,5ʡmph,0ʡmph,29.56ʡin,0.0ʡin,Cloudy,8/23/2023
12:54 AM,69ʡF,57ʡF,65ʡ%,SE,6ʡmph,0ʡmph,29.55ʡin,0.0ʡin,Cloudy,8/24/2023
1:54 AM,68ʡF,58ʡF,70ʡ%,ESE,6ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Cloudy,8/24/2023
2:54 AM,68ʡF,57ʡF,68ʡ%,ESE,6ʡmph,0ʡmph,29.55ʡin,0.0ʡin,Cloudy,8/24/2023
3:54 AM,68ʡF,56ʡF,65ʡ%,SSE,10ʡmph,0ʡmph,29.54ʡin,0.0ʡin,Light Rain,8/24/2023
4:54 AM,67ʡF,56ʡF,68ʡ%,ESE,12ʡmph,0ʡmph,29.52ʡin,0.0ʡin,Light Rain,8/24/2023
5:54 AM,67ʡF,56ʡF,68ʡ%,ESE,13ʡmph,0ʡmph,29.52ʡin,0.0ʡin,Light Rain,8/24/2023
6:54 AM,67ʡF,56ʡF,68ʡ%,SE,10ʡmph,0ʡmph,29.53ʡin,0.0ʡin,Cloudy,8/24/2023
7:54 AM,67ʡF,56ʡF,68ʡ%,ESE,15ʡmph,0ʡmph,29.52ʡin,0.0ʡin,Cloudy,8/24/2023
8:54 AM,65ʡF,58ʡF,78ʡ%,ESE,10ʡmph,0ʡmph,29.52ʡin,0.0ʡin,Cloudy,8/24/2023
9:54 AM,68ʡF,57ʡF,68ʡ%,SE,12ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Cloudy,8/24/2023
10:54 AM,67ʡF,57ʡF,70ʡ%,SE,14ʡmph,23ʡmph,29.52ʡin,0.0ʡin,Cloudy,8/24/2023
11:54 AM,66ʡF,59ʡF,78ʡ%,ESE,10ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Cloudy,8/24/2023
12:54 PM,67ʡF,59ʡF,76ʡ%,SE,8ʡmph,0ʡmph,29.50ʡin,0.0ʡin,Cloudy,8/24/2023
1:01 PM,67ʡF,59ʡF,76ʡ%,SE,8ʡmph,0ʡmph,29.50ʡin,0.0ʡin,Light Rain,8/24/2023
1:54 PM,66ʡF,61ʡF,84ʡ%,ESE,9ʡmph,0ʡmph,29.48ʡin,0.1ʡin,Cloudy,8/24/2023
2:54 PM,67ʡF,60ʡF,79ʡ%,ESE,10ʡmph,0ʡmph,29.48ʡin,0.0ʡin,Cloudy,8/24/2023
3:54 PM,68ʡF,60ʡF,76ʡ%,SE,10ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Cloudy,8/24/2023
4:54 PM,69ʡF,60ʡF,73ʡ%,SE,7ʡmph,0ʡmph,29.46ʡin,0.0ʡin,Cloudy,8/24/2023
5:01 PM,69ʡF,61ʡF,75ʡ%,SE,8ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Cloudy,8/24/2023
5:13 PM,68ʡF,61ʡF,78ʡ%,SSE,10ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Light Rain,8/24/2023
5:54 PM,68ʡF,61ʡF,78ʡ%,SE,7ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Cloudy,8/24/2023
6:41 PM,68ʡF,62ʡF,81ʡ%,SE,9ʡmph,0ʡmph,29.42ʡin,0.0ʡin,Cloudy,8/24/2023
6:54 PM,68ʡF,61ʡF,78ʡ%,SE,14ʡmph,0ʡmph,29.41ʡin,0.0ʡin,Cloudy,8/24/2023
7:54 PM,69ʡF,61ʡF,75ʡ%,SE,3ʡmph,0ʡmph,29.44ʡin,0.0ʡin,Cloudy,8/24/2023
8:42 PM,69ʡF,61ʡF,75ʡ%,SSE,5ʡmph,0ʡmph,29.44ʡin,0.0ʡin,Cloudy,8/24/2023
8:54 PM,68ʡF,62ʡF,81ʡ%,ESE,5ʡmph,0ʡmph,29.44ʡin,0.0ʡin,Haze,8/24/2023
9:37 PM,68ʡF,62ʡF,81ʡ%,ESE,5ʡmph,0ʡmph,29.43ʡin,0.0ʡin,Cloudy,8/24/2023
9:54 PM,68ʡF,62ʡF,81ʡ%,SE,6ʡmph,0ʡmph,29.42ʡin,0.0ʡin,Cloudy,8/24/2023
10:54 PM,69ʡF,62ʡF,78ʡ%,SSE,3ʡmph,0ʡmph,29.40ʡin,0.0ʡin,Cloudy,8/24/2023
11:54 PM,70ʡF,63ʡF,78ʡ%,SE,6ʡmph,0ʡmph,29.37ʡin,0.0ʡin,Cloudy,8/24/2023
12:27 AM,71ʡF,63ʡF,75ʡ%,SSW,9ʡmph,0ʡmph,29.39ʡin,0.0ʡin,Cloudy,8/25/2023
12:54 AM,71ʡF,63ʡF,75ʡ%,SSW,9ʡmph,0ʡmph,29.40ʡin,0.0ʡin,Cloudy,8/25/2023
1:24 AM,69ʡF,64ʡF,84ʡ%,S,10ʡmph,0ʡmph,29.39ʡin,0.0ʡin,Light Rain,8/25/2023
1:31 AM,69ʡF,64ʡF,84ʡ%,S,9ʡmph,0ʡmph,29.39ʡin,0.0ʡin,Light Rain with Thunder,8/25/2023
1:52 AM,70ʡF,64ʡF,83ʡ%,S,5ʡmph,0ʡmph,29.38ʡin,0.0ʡin,Light Rain,8/25/2023
1:54 AM,69ʡF,64ʡF,84ʡ%,S,3ʡmph,0ʡmph,29.38ʡin,0.0ʡin,Light Rain,8/25/2023
2:54 AM,69ʡF,65ʡF,87ʡ%,S,5ʡmph,0ʡmph,29.36ʡin,0.0ʡin,Cloudy,8/25/2023
3:54 AM,68ʡF,65ʡF,90ʡ%,ESE,5ʡmph,0ʡmph,29.35ʡin,0.0ʡin,Light Rain,8/25/2023
4:54 AM,69ʡF,65ʡF,87ʡ%,ENE,6ʡmph,0ʡmph,29.34ʡin,0.0ʡin,Light Rain,8/25/2023
5:54 AM,68ʡF,65ʡF,90ʡ%,NNE,3ʡmph,0ʡmph,29.33ʡin,0.0ʡin,Cloudy,8/25/2023
6:54 AM,68ʡF,65ʡF,90ʡ%,ENE,3ʡmph,0ʡmph,29.35ʡin,0.0ʡin,Mostly Cloudy,8/25/2023
7:06 AM,68ʡF,65ʡF,90ʡ%,ENE,3ʡmph,0ʡmph,29.35ʡin,0.0ʡin,Mostly Cloudy,8/25/2023
7:35 AM,69ʡF,65ʡF,87ʡ%,CALM,0ʡmph,0ʡmph,29.35ʡin,0.0ʡin,Rain,8/25/2023
7:44 AM,69ʡF,65ʡF,87ʡ%,CALM,0ʡmph,0ʡmph,29.35ʡin,0.0ʡin,Light Rain,8/25/2023
7:54 AM,69ʡF,65ʡF,87ʡ%,CALM,0ʡmph,0ʡmph,29.35ʡin,0.0ʡin,Light Rain,8/25/2023
8:54 AM,73ʡF,67ʡF,81ʡ%,SSW,6ʡmph,0ʡmph,29.34ʡin,0.0ʡin,Cloudy,8/25/2023
9:41 AM,77ʡF,69ʡF,76ʡ%,VAR,5ʡmph,0ʡmph,29.34ʡin,0.0ʡin,Mostly Cloudy,8/25/2023
9:54 AM,76ʡF,68ʡF,76ʡ%,VAR,5ʡmph,0ʡmph,29.34ʡin,0.0ʡin,Mostly Cloudy,8/25/2023
10:20 AM,79ʡF,69ʡF,72ʡ%,SW,7ʡmph,0ʡmph,29.34ʡin,0.0ʡin,Mostly Cloudy,8/25/2023
10:47 AM,78ʡF,68ʡF,71ʡ%,W,9ʡmph,0ʡmph,29.35ʡin,0.0ʡin,Mostly Cloudy,8/25/2023
10:54 AM,78ʡF,69ʡF,74ʡ%,WSW,8ʡmph,0ʡmph,29.35ʡin,0.0ʡin,Mostly Cloudy,8/25/2023
11:54 AM,78ʡF,69ʡF,74ʡ%,WSW,8ʡmph,0ʡmph,29.36ʡin,0.0ʡin,Cloudy,8/25/2023
12:11 PM,77ʡF,69ʡF,76ʡ%,W,8ʡmph,0ʡmph,29.36ʡin,0.0ʡin,Cloudy,8/25/2023
12:54 PM,77ʡF,69ʡF,76ʡ%,WSW,10ʡmph,0ʡmph,29.36ʡin,0.0ʡin,Cloudy,8/25/2023
1:16 PM,76ʡF,68ʡF,76ʡ%,WSW,12ʡmph,0ʡmph,29.36ʡin,0.0ʡin,Light Rain,8/25/2023
1:42 PM,76ʡF,69ʡF,79ʡ%,W,9ʡmph,0ʡmph,29.37ʡin,0.0ʡin,Cloudy,8/25/2023
1:54 PM,76ʡF,70ʡF,82ʡ%,WSW,7ʡmph,0ʡmph,29.37ʡin,0.0ʡin,Cloudy,8/25/2023
2:31 PM,75ʡF,71ʡF,87ʡ%,WSW,5ʡmph,0ʡmph,29.37ʡin,0.0ʡin,Light Rain,8/25/2023
2:35 PM,75ʡF,71ʡF,87ʡ%,WSW,5ʡmph,0ʡmph,29.37ʡin,0.0ʡin,Light Rain,8/25/2023
2:50 PM,75ʡF,72ʡF,89ʡ%,WSW,8ʡmph,0ʡmph,29.36ʡin,0.0ʡin,Cloudy,8/25/2023
2:54 PM,76ʡF,71ʡF,85ʡ%,SW,5ʡmph,0ʡmph,29.36ʡin,0.0ʡin,Cloudy,8/25/2023
3:37 PM,76ʡF,70ʡF,82ʡ%,WNW,8ʡmph,0ʡmph,29.37ʡin,0.0ʡin,Cloudy,8/25/2023
3:54 PM,76ʡF,69ʡF,79ʡ%,NW,8ʡmph,0ʡmph,29.37ʡin,0.0ʡin,Mostly Cloudy,8/25/2023
4:42 PM,77ʡF,68ʡF,74ʡ%,WNW,8ʡmph,0ʡmph,29.38ʡin,0.0ʡin,Cloudy,8/25/2023
4:54 PM,77ʡF,68ʡF,74ʡ%,WNW,9ʡmph,0ʡmph,29.38ʡin,0.0ʡin,Cloudy,8/25/2023
5:54 PM,76ʡF,67ʡF,74ʡ%,WNW,8ʡmph,0ʡmph,29.39ʡin,0.0ʡin,Mostly Cloudy,8/25/2023
6:23 PM,76ʡF,66ʡF,71ʡ%,NNW,6ʡmph,0ʡmph,29.38ʡin,0.0ʡin,Mostly Cloudy,8/25/2023
6:44 PM,75ʡF,65ʡF,71ʡ%,WNW,9ʡmph,0ʡmph,29.39ʡin,0.0ʡin,Mostly Cloudy,8/25/2023
6:54 PM,75ʡF,64ʡF,69ʡ%,WNW,8ʡmph,0ʡmph,29.39ʡin,0.0ʡin,Mostly Cloudy,8/25/2023
7:54 PM,73ʡF,65ʡF,76ʡ%,WNW,7ʡmph,0ʡmph,29.40ʡin,0.0ʡin,Mostly Cloudy,8/25/2023
8:54 PM,72ʡF,66ʡF,81ʡ%,W,5ʡmph,0ʡmph,29.42ʡin,0.0ʡin,Cloudy,8/25/2023
9:54 PM,72ʡF,66ʡF,81ʡ%,WNW,3ʡmph,0ʡmph,29.43ʡin,0.0ʡin,Cloudy,8/25/2023
10:54 PM,71ʡF,66ʡF,84ʡ%,W,5ʡmph,0ʡmph,29.43ʡin,0.0ʡin,Cloudy,8/25/2023
11:54 PM,71ʡF,65ʡF,81ʡ%,WSW,3ʡmph,0ʡmph,29.42ʡin,0.0ʡin,Cloudy,8/25/2023
12:54 AM,71ʡF,65ʡF,81ʡ%,WSW,5ʡmph,0ʡmph,29.42ʡin,0.0ʡin,Cloudy,8/26/2023
1:54 AM,71ʡF,65ʡF,81ʡ%,WSW,10ʡmph,0ʡmph,29.41ʡin,0.0ʡin,Cloudy,8/26/2023
2:54 AM,70ʡF,64ʡF,81ʡ%,WSW,8ʡmph,0ʡmph,29.40ʡin,0.0ʡin,Cloudy,8/26/2023
3:54 AM,70ʡF,64ʡF,81ʡ%,WSW,9ʡmph,0ʡmph,29.41ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
4:54 AM,69ʡF,64ʡF,84ʡ%,W,8ʡmph,0ʡmph,29.42ʡin,0.0ʡin,Cloudy,8/26/2023
5:54 AM,69ʡF,64ʡF,84ʡ%,W,7ʡmph,0ʡmph,29.43ʡin,0.0ʡin,Cloudy,8/26/2023
6:54 AM,69ʡF,64ʡF,84ʡ%,WSW,8ʡmph,0ʡmph,29.44ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
7:54 AM,70ʡF,64ʡF,81ʡ%,W,8ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
8:54 AM,73ʡF,65ʡF,76ʡ%,W,6ʡmph,0ʡmph,29.46ʡin,0.0ʡin,Partly Cloudy,8/26/2023
9:44 AM,74ʡF,63ʡF,68ʡ%,W,7ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
9:54 AM,75ʡF,63ʡF,66ʡ%,W,6ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
10:54 AM,75ʡF,61ʡF,62ʡ%,NW,13ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
11:54 AM,79ʡF,62ʡF,56ʡ%,WNW,10ʡmph,0ʡmph,29.46ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
12:54 PM,79ʡF,62ʡF,56ʡ%,WNW,12ʡmph,0ʡmph,29.46ʡin,0.0ʡin,Partly Cloudy,8/26/2023
1:54 PM,79ʡF,62ʡF,56ʡ%,WNW,12ʡmph,0ʡmph,29.46ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
2:54 PM,79ʡF,61ʡF,54ʡ%,WNW,12ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
3:54 PM,78ʡF,61ʡF,56ʡ%,NW,9ʡmph,0ʡmph,29.44ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
4:54 PM,79ʡF,61ʡF,54ʡ%,NW,10ʡmph,0ʡmph,29.44ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
5:54 PM,75ʡF,61ʡF,62ʡ%,N,13ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
6:54 PM,72ʡF,61ʡF,68ʡ%,NNW,12ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
7:54 PM,70ʡF,61ʡF,73ʡ%,N,5ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
8:54 PM,69ʡF,61ʡF,75ʡ%,N,5ʡmph,0ʡmph,29.48ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
9:54 PM,67ʡF,60ʡF,79ʡ%,N,7ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
10:54 PM,66ʡF,59ʡF,78ʡ%,N,8ʡmph,0ʡmph,29.52ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
11:54 PM,65ʡF,58ʡF,78ʡ%,NNW,7ʡmph,0ʡmph,29.53ʡin,0.0ʡin,Mostly Cloudy,8/26/2023
12:54 AM,64ʡF,57ʡF,78ʡ%,NNW,8ʡmph,0ʡmph,29.52ʡin,0.0ʡin,Mostly Cloudy,8/27/2023
1:54 AM,62ʡF,55ʡF,78ʡ%,NNW,8ʡmph,0ʡmph,29.53ʡin,0.0ʡin,Mostly Cloudy,8/27/2023
2:54 AM,61ʡF,54ʡF,78ʡ%,NNW,7ʡmph,0ʡmph,29.53ʡin,0.0ʡin,Cloudy,8/27/2023
3:54 AM,61ʡF,53ʡF,75ʡ%,WNW,5ʡmph,0ʡmph,29.53ʡin,0.0ʡin,Cloudy,8/27/2023
4:54 AM,60ʡF,53ʡF,78ʡ%,NNW,7ʡmph,0ʡmph,29.53ʡin,0.0ʡin,Cloudy,8/27/2023
5:54 AM,59ʡF,53ʡF,81ʡ%,NW,3ʡmph,0ʡmph,29.55ʡin,0.0ʡin,Cloudy,8/27/2023
6:54 AM,59ʡF,53ʡF,81ʡ%,WNW,6ʡmph,0ʡmph,29.56ʡin,0.0ʡin,Cloudy,8/27/2023
