,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,City,Date
7,7:53 AM,63ʡF,55ʡF,75ʡ%,NW,7ʡmph,0ʡmph,29.88ʡin,0.0ʡin,Fair,PHNL,1/12/2024
8,8:53 AM,68ʡF,54ʡF,61ʡ%,NNW,8ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
9,9:53 AM,70ʡF,55ʡF,59ʡ%,NW,13ʡmph,21ʡmph,29.92ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
10,10:53 AM,74ʡF,55ʡF,52ʡ%,N,10ʡmph,25ʡmph,29.90ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
11,11:53 AM,75ʡF,56ʡF,51ʡ%,N,15ʡmph,26ʡmph,29.88ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
12,12:37 PM,75ʡF,57ʡF,53ʡ%,NNW,15ʡmph,28ʡmph,29.86ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
13,12:53 PM,75ʡF,56ʡF,51ʡ%,NNW,16ʡmph,26ʡmph,29.85ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
14,1:53 PM,70ʡF,60ʡF,71ʡ%,NNW,15ʡmph,39ʡmph,29.84ʡin,0.0ʡin,Light Rain,PHNL,1/12/2024
15,2:28 PM,67ʡF,63ʡF,87ʡ%,N,14ʡmph,23ʡmph,29.84ʡin,0.0ʡin,Light Rain,PHNL,1/12/2024
16,2:53 PM,71ʡF,60ʡF,68ʡ%,NW,14ʡmph,21ʡmph,29.84ʡin,0.0ʡin,Mostly Cloudy,PHNL,1/12/2024
17,3:53 PM,71ʡF,61ʡF,70ʡ%,NW,20ʡmph,25ʡmph,29.84ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
18,4:53 PM,69ʡF,60ʡF,73ʡ%,NNW,15ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Mostly Cloudy,PHNL,1/12/2024
19,5:53 PM,68ʡF,59ʡF,73ʡ%,N,12ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
20,6:53 PM,67ʡF,59ʡF,76ʡ%,NW,7ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
21,7:53 PM,66ʡF,59ʡF,78ʡ%,NW,7ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Mostly Cloudy,PHNL,1/12/2024
22,8:53 PM,65ʡF,59ʡF,81ʡ%,NW,7ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
23,9:53 PM,65ʡF,58ʡF,78ʡ%,NNW,7ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Partly Cloudy,PHNL,1/12/2024
24,10:53 PM,67ʡF,56ʡF,68ʡ%,NNW,8ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Mostly Cloudy,PHNL,1/12/2024
25,11:53 PM,65ʡF,56ʡF,73ʡ%,WNW,7ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Fair,PHNL,1/12/2024
26,,,,,,,,,,,PHNL,1/12/2024
